令和５年,医療施設調査,令和５（２０２３）年１０月１日,
都道府県編　第１０７表　一般診療所数（重複計上）；実施件数，在宅医療サービス・都道府県−指定都市・特別区・中核市（再掲）・病床の有無・療養病床を有する一般診療所（再掲）別
注：「実施件数」は令和５年９月中の数である。
,総数,医療保険等による,,,,,,,,,,,,,,,,,,,介護保険による,,,,,,
,,総数,往診,,在宅患者訪問診療,,歯科訪問診療,,救急搬送診療,,在宅患者訪問看護・指導,,精神科在宅患者訪問看護・指導,,在宅患者訪問リハビリテーション指導管理,,訪問看護ステーションへの指示書の交付,,在宅看取り,,総数,居宅療養管理指導（介護予防サービスを含む）,,訪問看護（介護予防サービスを含む）,,訪問リハビリテーション（介護予防サービスを含む）,
,,施設数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,施設数,実施件数,施設数,実施件数,施設数,実施件数
,,,,,,,,,,,,,,,,,,,,,,,,,,,
総数
高　　　知,514,155,74,737,86,4519,1,76,8,23,10,94,2,10,8,79,67,816,22,46,37,21,1941,4,48,10,272
福　　　岡,4806,1547,723,6300,938,63080,14,3092,60,98,123,1632,19,684,82,789,774,12126,215,514,470,344,26049,55,761,79,4000
佐　　　賀,693,272,148,1693,156,10124,4,93,10,38,24,395,4,327,4,49,89,927,38,107,63,39,2529,8,107,12,555
長　　　崎,1317,515,273,2545,306,14218,4,147,27,43,37,472,3,81,18,83,241,2249,75,143,137,83,2465,21,196,30,1447
熊　　　本,1470,576,280,2745,338,16760,2,351,24,36,30,326,8,307,21,184,274,2386,91,171,145,86,5300,28,579,27,1255
大　　　分,947,358,192,1671,219,12913,2,119,13,34,19,644,2,126,13,97,152,1245,62,139,116,72,4558,20,273,21,548
宮　　　崎,906,279,159,1655,135,11221,1,75,19,37,19,167,3,442,12,51,144,1908,63,162,70,49,3302,13,78,12,343
鹿　児　島,1369,542,310,4307,323,21220,2,77,30,117,55,2213,7,818,26,555,217,3343,77,165,192,116,7124,30,423,66,6834
沖　　　縄,928,179,104,1669,121,12956,2,51,6,20,15,67,11,1026,3,15,77,1688,55,188,71,50,4898,6,162,12,1711
（再掲）指定都市・特別区, , , , , , , , , , , , , , , , , , , , , , , , , , , 
東京都の区部,11628,2315,1393,26170,1244,163955,18,1880,84,235,170,7300,56,2897,144,2095,1055,32417,396,1570,914,701,79127,103,2140,136,8013
札幌市,1433,302,165,4650,167,33803,6,1230,10,30,36,908,7,552,22,439,162,6086,82,240,126,103,16314,9,157,22,3060
仙台市,950,169,88,1463,69,9589,1,2,12,31,9,1395,4,73,5,42,82,1850,33,199,57,40,4319,5,36,5,78
さいたま市,1028,241,128,3970,139,25620,4,663,3,13,13,59,5,16,18,76,122,3528,60,338,119,82,11627,9,64,20,1078
千葉市,717,141,87,1778,84,15458,1,480,8,13,11,359,2,8,10,91,79,2030,42,179,66,52,10228,10,1012,15,854
横浜市,3201,656,355,8924,371,55915,8,1275,22,73,40,908,16,940,31,448,321,9460,152,746,265,198,31656,16,205,31,1261
川崎市,1060,263,153,3793,149,29186,1,24,16,61,26,3303,7,1875,17,72,124,4574,66,335,127,99,17322,11,315,18,739
相模原市,453,75,38,988,44,10026,1,3,2,15,6,572,1,177,1,5,35,1950,21,108,25,23,5859,1,207,1,10
新潟市,651,193,100,1080,113,6445,1,20,7,11,7,105,2,234,16,154,85,1179,31,88,39,28,2547,4,52,5,466
静岡市,555,160,84,2331,89,11164,-,-,8,25,16,345,2,10,15,87,94,1645,32,180,43,34,4112,2,8,5,144
浜松市,650,213,99,1759,98,9071,-,-,8,16,12,473,4,520,15,84,120,1468,38,123,43,28,5157,6,75,11,1002
名古屋市,2272,731,403,5397,412,41738,5,1431,23,83,47,1376,11,237,32,173,356,9314,117,455,268,213,21560,20,164,29,797
京都市,1622,591,348,2908,348,18868,5,306,25,40,40,785,11,1299,54,252,276,5568,72,173,198,140,8493,26,1031,39,3721
大阪市,3734,1231,687,9475,744,64138,7,334,31,60,103,1835,23,930,92,949,595,16736,187,647,490,342,28557,68,1408,105,5113
堺市,744,302,159,1830,181,18875,1,80,3,9,22,287,6,205,15,185,160,5961,47,107,110,80,8318,18,203,14,1041
神戸市,1643,634,360,3666,366,18405,5,1741,14,69,45,1006,5,40,33,113,306,6422,98,263,212,162,9070,25,329,40,884
岡山市,625,272,135,1002,171,9621,3,477,10,22,11,186,3,561,9,45,133,1732,44,99,89,66,4834,11,416,17,494
広島市,1206,452,250,2046,269,15686,3,600,23,38,30,161,5,64,25,210,245,4626,55,108,122,88,5373,13,156,31,1802
北九州市,941,320,159,1111,208,13983,3,1855,7,10,25,367,2,20,18,179,154,2139,54,104,94,71,5119,11,131,16,1017
福岡市,1693,460,220,2836,258,30023,4,570,18,39,45,787,11,451,33,391,240,4406,62,195,178,127,13769,27,396,34,1316
熊本市,654,247,117,1562,145,8828,2,351,11,16,14,124,6,294,14,161,120,1405,42,96,72,50,4002,10,416,12,607
（再掲）中核市, , , , , , , , , , , , , , , , , , , , , , , , , , , 
旭川市,225,56,28,834,25,3035,-,-,3,7,2,56,1,40,2,3,21,328,12,41,13,10,1611,2,100,2,110
函館市,197,67,23,335,30,4605,2,414,-,-,7,496,2,410,3,20,25,394,7,15,19,9,1147,4,112,5,1181
青森市,206,52,20,201,28,1990,-,-,2,5,3,142,1,175,1,1,17,392,10,46,14,11,822,2,948,1,9
八戸市,167,41,18,288,18,2240,-,-,2,3,2,42,-,-,2,4,24,761,9,39,12,9,923,2,35,3,52
盛岡市,258,70,29,268,32,2602,2,39,-,-,5,7,1,8,4,5,36,941,9,60,16,11,1211,1,1,8,558
秋田市,290,88,32,239,46,1346,-,-,1,2,4,309,-,-,1,2,36,293,11,28,13,8,376,1,2,2,3
山形市,247,77,44,920,46,4674,-,-,2,2,1,2,1,5,3,39,34,406,15,65,21,13,1472,2,2,3,395
郡山市,233,73,32,624,45,3782,5,113,3,3,5,18,-,-,5,12,43,638,14,69,24,16,1198,2,80,5,946
いわき市,242,64,23,227,38,2230,-,-,1,1,7,116,-,-,2,6,28,434,11,30,17,10,1084,2,3,-,-
福島市,249,70,31,378,42,2607,3,256,3,4,2,957,-,-,4,9,41,869,19,68,18,16,900,4,152,3,31
水戸市,242,62,28,436,31,2640,-,-,1,1,2,10,1,101,8,27,35,461,10,43,24,17,1474,2,12,5,657
宇都宮市,438,90,41,596,40,4362,1,3,7,12,6,46,1,9,6,98,47,1412,14,62,20,15,2239,2,3,3,458
前橋市,340,144,71,803,89,7188,1,42,8,11,16,248,-,-,4,6,76,1478,33,110,41,29,3114,6,46,2,4
高崎市,353,126,71,589,74,4696,-,-,4,4,10,313,2,28,7,78,63,718,21,67,38,30,2227,6,322,6,597
川越市,220,42,24,857,19,2802,-,-,3,5,4,329,1,21,7,79,25,708,8,64,14,10,1691,1,40,3,157
越谷市,200,42,20,678,21,4184,-,-,2,12,4,99,1,100,2,4,21,1312,10,36,14,12,2420,2,33,1,10
川口市,339,72,45,1071,32,5708,-,-,2,3,6,59,3,80,6,9,34,791,19,89,34,26,4041,5,21,5,39
船橋市,380,67,41,937,38,9678,-,-,-,-,4,100,4,20,4,16,32,1370,15,78,30,22,4102,3,512,3,1352
柏市,270,49,28,314,30,4334,-,-,-,-,7,266,2,97,5,25,27,445,15,61,26,20,2355,4,91,7,210
八王子市,392,83,43,1361,50,8065,1,1000,1,20,10,340,4,53,8,120,41,1375,17,87,38,28,4046,5,128,8,696
横須賀市,304,95,56,754,64,8639,1,298,3,8,3,363,1,106,4,24,43,1078,24,146,32,27,4000,-,-,3,56
富山市,337,106,54,509,62,4232,1,165,5,10,5,20,2,330,10,84,51,1227,15,44,28,21,2301,3,32,2,8
金沢市,419,132,67,726,79,6746,1,1,6,21,7,127,1,1,10,83,62,1390,21,76,45,37,3329,4,76,6,83
福井市,253,93,41,218,55,1918,-,-,3,3,6,18,1,95,3,8,52,647,10,18,36,16,791,4,21,4,224
甲府市,219,57,28,350,31,1288,-,-,2,2,4,206,-,-,7,160,34,387,12,32,13,7,238,2,5,4,674
長野市,297,97,49,321,58,2444,-,-,4,11,5,44,-,-,2,16,46,503,20,29,30,23,851,4,349,4,300
松本市,231,97,54,301,63,2241,-,-,2,3,14,239,2,17,12,59,56,883,18,38,28,17,427,7,142,4,19
岐阜市,398,184,103,1416,116,7334,-,-,13,35,20,322,3,600,8,39,99,1989,28,88,64,48,3261,7,61,8,299
豊橋市,252,73,30,321,40,2667,-,-,-,-,5,41,1,7,9,137,30,364,9,22,24,12,485,2,27,10,2078
豊田市,244,75,36,182,45,1710,1,17,4,10,4,41,1,270,7,40,32,582,9,16,17,17,889,1,5,2,7
岡崎市,234,74,37,462,40,2876,-,-,-,-,5,56,2,6,12,60,38,472,16,51,28,13,1347,6,200,10,860
一宮市,257,104,63,1091,66,7144,-,-,4,7,9,249,2,45,6,28,52,1400,20,85,36,24,2341,6,195,6,333
大津市,304,113,60,454,72,3497,-,-,2,2,8,95,2,48,11,85,56,848,12,24,43,33,1965,8,54,9,1440
高槻市,297,110,63,574,78,5481,-,-,-,-,10,159,2,5,11,100,61,1854,16,38,41,34,3176,4,20,3,59
東大阪市,397,174,93,948,99,6656,-,-,3,5,13,288,3,27,12,46,91,2418,21,56,75,53,3080,13,78,19,230
豊中市,430,155,83,841,100,9987,1,121,4,30,16,290,3,186,15,104,87,2248,36,108,64,44,5651,6,85,18,1317
枚方市,284,102,50,585,56,7800,-,-,3,6,11,357,1,6,7,58,48,1147,15,77,41,28,3813,9,85,7,580
八尾市,212,82,50,545,55,4127,1,168,1,4,9,218,3,25,5,39,33,836,9,17,30,27,1960,2,21,7,608
寝屋川市,182,66,34,236,43,2861,-,-,1,1,4,21,3,120,2,7,27,601,8,18,22,18,1883,4,205,2,20
吹田市,373,132,66,948,85,5196,1,10,2,2,10,155,3,80,7,32,74,1502,24,44,50,39,3144,5,72,9,343
姫路市,418,158,72,486,85,5421,-,-,5,11,8,160,3,186,11,30,82,1532,30,66,47,32,2887,11,223,11,67
西宮市,553,179,107,976,112,8451,-,-,5,10,19,255,1,17,11,66,94,1720,42,112,47,38,4138,3,90,5,533
尼崎市,490,188,107,1739,108,9691,-,-,6,6,16,425,1,20,12,139,105,2208,24,70,57,40,3375,5,90,14,2215
明石市,248,103,66,452,55,2937,-,-,-,-,7,120,1,2,3,61,52,1283,16,36,39,24,1460,8,449,11,539
奈良市,400,122,65,548,69,6164,2,851,3,7,5,222,2,38,9,33,70,980,21,51,39,32,3343,4,96,6,172
和歌山市,416,201,122,980,133,8819,1,29,8,11,19,774,2,65,15,103,114,1787,42,87,79,54,2655,13,141,19,804
鳥取市,149,61,24,232,45,2245,-,-,1,1,5,54,-,-,6,14,31,334,9,22,28,15,710,4,84,5,961
松江市,220,98,55,371,63,2736,-,-,1,2,6,52,3,22,3,14,48,736,10,19,24,19,894,3,30,6,43
倉敷市,345,120,59,540,70,5135,2,55,5,10,7,117,6,335,8,83,55,710,16,46,30,21,1594,6,301,9,613
