令和５年,医療施設調査,令和５（２０２３）年１０月１日,
都道府県編　第１０７表　一般診療所数（重複計上）；実施件数，在宅医療サービス・都道府県−指定都市・特別区・中核市（再掲）・病床の有無・療養病床を有する一般診療所（再掲）別
注：「実施件数」は令和５年９月中の数である。
,総数,医療保険等による,,,,,,,,,,,,,,,,,,,介護保険による,,,,,,
,,総数,往診,,在宅患者訪問診療,,歯科訪問診療,,救急搬送診療,,在宅患者訪問看護・指導,,精神科在宅患者訪問看護・指導,,在宅患者訪問リハビリテーション指導管理,,訪問看護ステーションへの指示書の交付,,在宅看取り,,総数,居宅療養管理指導（介護予防サービスを含む）,,訪問看護（介護予防サービスを含む）,,訪問リハビリテーション（介護予防サービスを含む）,
,,施設数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,施設数,実施件数,施設数,実施件数,施設数,実施件数
,,,,,,,,,,,,,,,,,,,,,,,,,,,
総数
川崎市,20,6,4,199,6,1989,-,-,1,3,1,733,-,-,1,4,4,167,4,14,6,5,935,-,-,2,147
相模原市,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
新潟市,17,2,1,2,2,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
静岡市,21,4,1,3,2,25,-,-,-,-,1,10,-,-,1,1,2,2,1,1,1,1,15,-,-,-,-
浜松市,33,12,4,94,5,441,-,-,-,-,1,20,-,-,-,-,7,37,-,-,1,1,30,1,11,-,-
名古屋市,75,25,14,102,12,924,1,754,-,-,-,-,-,-,-,-,11,159,5,11,6,5,321,-,-,-,-
京都市,39,10,7,143,6,555,-,-,-,-,2,44,-,-,1,1,4,81,1,1,4,3,213,-,-,1,22
大阪市,65,17,10,44,11,619,2,63,1,5,2,12,-,-,1,34,3,24,1,2,4,3,308,1,7,3,520
堺市,20,2,1,6,2,145,-,-,-,-,1,3,-,-,1,2,2,41,-,-,1,1,64,-,-,-,-
神戸市,45,14,7,76,7,428,1,1361,1,14,2,14,-,-,1,26,6,210,4,8,6,5,459,-,-,1,5
岡山市,52,28,14,58,15,823,1,13,1,3,-,-,-,-,1,7,13,86,3,4,10,7,402,3,347,5,237
広島市,71,25,18,164,19,2211,-,-,2,7,2,13,-,-,1,16,15,681,7,7,17,10,1163,2,18,8,412
北九州市,73,29,13,73,20,1000,1,1695,-,-,2,14,-,-,-,-,10,45,1,1,6,5,257,1,8,1,5
福岡市,114,46,24,223,32,3994,-,-,3,4,11,396,1,5,2,2,20,155,6,6,20,13,777,5,199,8,249
熊本市,99,45,17,105,25,573,-,-,4,5,2,3,-,-,2,6,23,134,4,4,13,8,113,2,111,4,220
（再掲）中核市, , , , , , , , , , , , , , , , , , , , , , , , , , , 
旭川市,24,10,7,37,6,1394,-,-,1,2,1,16,-,-,1,2,5,42,4,16,3,2,6,1,60,1,29
函館市,17,5,3,127,3,2026,1,311,-,-,2,313,-,-,-,-,1,2,1,1,2,1,376,2,96,2,867
青森市,26,12,6,37,6,846,-,-,-,-,1,140,-,-,-,-,4,146,3,7,3,2,185,-,-,1,9
八戸市,21,7,3,46,4,511,-,-,1,2,1,2,-,-,1,3,3,168,2,7,2,1,119,-,-,1,18
盛岡市,22,6,3,105,3,922,-,-,-,-,-,-,-,-,-,-,3,420,1,16,2,2,323,1,1,2,188
秋田市,16,5,4,56,5,135,-,-,-,-,-,-,-,-,-,-,4,44,1,1,2,1,41,-,-,-,-
山形市,9,3,1,16,2,27,-,-,-,-,-,-,-,-,-,-,1,2,1,1,1,-,-,-,-,-,-
郡山市,14,2,1,7,1,3,-,-,-,-,-,-,-,-,-,-,1,6,-,-,-,-,-,-,-,-,-
いわき市,17,5,1,2,2,283,-,-,-,-,-,-,-,-,-,-,1,31,2,4,2,1,10,-,-,-,-
福島市,16,3,1,2,2,140,-,-,-,-,-,-,-,-,-,-,3,40,-,-,-,-,-,-,-,-,-
水戸市,13,3,-,-,1,10,-,-,-,-,-,-,-,-,-,-,3,12,-,-,1,-,-,-,-,1,393
宇都宮市,31,5,3,129,2,815,-,-,-,-,-,-,-,-,-,-,4,373,2,15,2,1,540,1,1,1,36
前橋市,16,9,4,104,5,79,-,-,-,-,2,6,-,-,-,-,3,47,1,5,4,1,94,1,33,-,-
高崎市,15,6,1,2,1,113,-,-,-,-,-,-,-,-,-,-,6,102,-,-,1,1,21,-,-,-,-
川越市,12,5,2,406,3,458,-,-,-,-,-,-,-,-,1,1,1,10,2,17,1,1,44,-,-,1,29
越谷市,13,3,1,31,2,472,-,-,-,-,-,-,-,-,-,-,3,94,1,6,1,1,467,-,-,-,-
川口市,9,2,2,61,2,528,-,-,-,-,1,35,-,-,-,-,1,112,2,20,2,2,582,-,-,-,-
船橋市,7,1,1,5,1,106,-,-,-,-,-,-,-,-,-,-,1,4,-,-,1,1,51,-,-,1,7
柏市,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
八王子市,19,3,3,10,3,167,-,-,-,-,1,169,-,-,1,1,2,18,2,4,2,1,2,-,-,-,-
横須賀市,14,1,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
富山市,16,6,3,43,1,11,-,-,-,-,-,-,-,-,1,8,2,5,-,-,2,-,-,-,-,1,1
金沢市,26,3,-,-,2,182,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,1,136,-,-,1,16
福井市,26,8,2,11,3,50,-,-,-,-,-,-,-,-,-,-,4,50,-,-,6,1,31,-,-,2,182
甲府市,11,3,2,8,2,104,-,-,-,-,-,-,-,-,1,6,2,33,1,5,2,1,4,-,-,1,384
長野市,15,5,2,26,3,619,-,-,-,-,1,26,-,-,-,-,2,132,1,1,3,2,196,1,9,-,-
松本市,9,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
岐阜市,31,12,7,186,5,280,-,-,-,-,2,123,-,-,-,-,5,183,1,7,3,2,268,-,-,-,-
豊橋市,15,2,-,-,1,10,-,-,-,-,1,2,-,-,-,-,-,-,-,-,1,-,-,1,24,-,-
豊田市,9,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,1,6,-,-,1,1,1,-,-,-,-
岡崎市,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
一宮市,18,9,5,158,5,1533,-,-,-,-,-,-,-,-,1,12,6,158,2,5,4,3,387,1,21,1,274
大津市,11,3,1,17,3,384,-,-,-,-,-,-,-,-,1,72,2,26,-,-,1,1,78,1,4,1,1170
高槻市,5,1,1,5,1,66,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
東大阪市,7,5,2,7,2,38,-,-,-,-,-,-,-,-,2,8,5,77,-,-,1,-,-,-,-,1,76
豊中市,7,2,-,-,1,1,-,-,1,7,1,1,-,-,-,-,2,15,-,-,1,1,1,1,1,-,-
枚方市,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
八尾市,10,2,1,9,2,116,-,-,-,-,1,8,-,-,-,-,2,43,-,-,2,2,143,1,20,1,8
寝屋川市,2,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
吹田市,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
姫路市,14,4,2,3,2,34,-,-,-,-,-,-,-,-,-,-,3,23,2,2,1,1,68,-,-,-,-
西宮市,10,2,2,3,1,10,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-
尼崎市,12,5,2,42,3,341,-,-,-,-,-,-,-,-,1,4,3,78,1,1,3,2,234,1,53,1,54
明石市,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,355
奈良市,8,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-
和歌山市,24,12,5,53,8,730,-,-,1,1,2,51,-,-,3,77,8,124,1,4,6,3,198,3,37,4,510
鳥取市,9,3,2,8,2,75,-,-,-,-,1,26,-,-,1,1,3,12,1,6,2,1,1,2,50,1,1
松江市,13,1,1,2,1,26,-,-,-,-,-,-,-,-,-,-,1,8,-,-,-,-,-,-,-,-,-
倉敷市,16,10,6,79,6,1130,-,-,-,-,1,4,-,-,-,-,7,74,2,7,4,1,2,-,-,1,8
福山市,29,12,8,22,9,276,-,-,1,1,1,8,-,-,-,-,7,32,1,1,6,4,33,1,1,3,131
呉市,15,8,5,92,6,650,1,11,2,2,2,3,-,-,1,3,7,114,2,5,4,3,69,2,57,1,2
下関市,26,11,6,32,8,463,-,-,1,3,5,14,-,-,-,-,8,47,2,4,5,4,233,4,45,1,2
高松市,47,25,13,276,17,2950,1,51,3,5,5,430,-,-,1,1,12,31,7,16,9,7,1130,1,2,-,-
松山市,57,27,16,851,18,7128,1,29,1,1,3,1991,-,-,2,13,13,683,7,43,14,11,2084,1,15,3,339
高知市,24,5,1,13,2,203,1,76,-,-,1,2,-,-,-,-,4,20,1,2,2,1,109,1,32,2,53
久留米市,44,15,6,105,9,266,-,-,2,3,-,-,-,-,-,-,6,72,1,3,4,2,110,-,-,1,9
長崎市,53,27,15,142,21,1695,-,-,-,-,5,72,-,-,1,1,17,320,8,19,10,6,360,1,2,2,226
佐世保市,42,23,11,53,13,1055,-,-,3,4,3,92,-,-,2,17,14,70,3,7,7,1,12,1,25,3,255
大分市,86,31,17,158,25,2062,-,-,-,-,-,-,-,-,-,-,15,131,7,17,14,12,786,2,66,2,39
宮崎市,48,17,12,99,15,1244,-,-,1,1,-,-,1,298,1,6,13,169,5,6,9,9,327,1,13,2,18
鹿児島市,92,40,18,233,23,1280,-,-,3,8,6,158,-,-,4,23,16,199,5,9,18,8,692,4,160,13,751
那覇市,20,2,-,-,2,25,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-
療養病床を有する一般診療所（再掲）
全　　　　　国,506,378,202,1949,256,12206,3,53,27,106,35,534,2,299,17,76,180,1945,63,126,144,82,3845,22,555,46,1678
北　海　道,24,15,6,20,6,378,-,-,1,2,3,29,-,-,2,7,7,151,1,4,5,3,199,1,125,3,221
青　　　森,6,6,4,29,4,193,-,-,1,1,1,3,-,-,-,-,1,65,2,5,-,-,-,-,-,-,-
岩　　　手,5,3,1,421,1,82,-,-,1,1,-,-,-,-,-,-,2,10,-,-,1,-,-,-,-,-,-
宮　　　城,8,4,4,14,3,118,-,-,1,1,1,6,-,-,1,2,2,3,2,6,1,1,36,-,-,-,-
秋　　　田,3,1,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
山　　　形,2,2,-,-,2,9,-,-,-,-,1,4,-,-,-,-,1,11,-,-,1,-,-,-,-,-,-
福　　　島,4,4,1,3,3,52,-,-,1,1,1,18,-,-,-,-,3,12,1,2,1,-,-,1,19,-,-
茨　　　城,10,7,4,13,7,188,-,-,1,2,-,-,-,-,-,-,3,14,2,4,4,2,30,-,-,1,393
栃　　　木,5,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,5,-,-,-,-,-,-,-,-,-
群　　　馬,1,1,1,1,1,11,-,-,-,-,-,-,-,-,-,-,1,4,-,-,-,-,-,-,-,-,-
埼　　　玉,2,2,2,40,1,137,-,-,-,-,-,-,-,-,-,-,1,112,1,13,1,1,196,-,-,-,-
千　　　葉,5,4,2,42,3,162,-,-,-,-,-,-,-,-,1,1,2,10,1,2,1,1,22,-,-,-,-
東　　　京,9,3,3,16,3,314,-,-,-,-,1,1,-,-,1,8,3,77,1,1,2,2,261,-,-,-,-
神　奈　川,8,3,-,-,1,195,-,-,-,-,-,-,-,-,-,-,2,5,-,-,-,-,-,-,-,-,-
新　　　潟,2,2,2,3,1,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
富　　　山,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
石　　　川,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
福　　　井,5,3,2,15,3,31,-,-,-,-,-,-,-,-,-,-,1,7,-,-,-,-,-,-,-,-,-
山　　　梨,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
長　　　野,6,6,3,14,3,111,1,10,-,-,1,47,1,1,-,-,4,73,1,1,4,2,80,-,-,-,-
岐　　　阜,14,10,6,17,8,311,-,-,1,1,-,-,-,-,1,1,7,100,3,6,3,1,74,1,15,2,89
静　　　岡,4,4,1,4,2,50,-,-,-,-,-,-,-,-,-,-,1,8,-,-,1,-,-,-,-,-,-
愛　　　知,16,13,6,33,8,294,-,-,-,-,-,-,-,-,1,1,6,11,2,4,5,4,170,1,2,3,11
三　　　重,11,8,6,207,3,325,-,-,-,-,-,-,-,-,-,-,3,45,3,4,2,1,75,1,50,-,-
滋　　　賀,1,1,-,-,1,36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
京　　　都,2,2,2,9,1,121,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,102,-,-,-,-
大　　　阪,3,3,1,4,3,20,-,-,-,-,2,9,-,-,1,2,1,3,-,-,-,-,-,-,-,-,-
兵　　　庫,9,7,3,27,2,162,-,-,-,-,-,-,-,-,-,-,5,59,1,2,3,1,26,1,118,1,4
奈　　　良,2,2,2,20,2,493,-,-,-,-,-,-,-,-,-,-,1,24,2,2,1,1,234,-,-,-,-
和　歌　山,9,8,6,28,6,450,-,-,-,-,-,-,-,-,-,-,5,18,3,8,1,-,-,-,-,1,46
鳥　　　取,2,2,1,3,1,169,-,-,-,-,-,-,-,-,1,9,2,19,-,-,1,1,159,-,-,1,85
島　　　根,2,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
岡　　　山,20,15,12,28,12,598,-,-,-,-,-,-,-,-,1,7,11,77,1,2,5,2,187,2,26,3,156
広　　　島,28,17,13,141,14,915,1,11,4,15,3,239,-,-,1,3,12,250,3,12,8,8,319,3,35,3,47
山　　　口,7,5,4,23,5,246,-,-,-,-,3,15,-,-,-,-,4,24,3,5,5,5,275,2,28,2,16
徳　　　島,10,9,5,36,7,191,-,-,1,1,2,53,-,-,1,1,2,25,2,2,7,2,82,-,-,4,64
香　　　川,17,13,5,33,9,240,-,-,1,2,1,1,-,-,1,1,7,52,1,1,5,3,102,-,-,2,26
愛　　　媛,8,7,4,10,5,389,-,-,-,-,-,-,-,-,-,-,3,16,-,-,5,3,190,-,-,1,5
高　　　知,1,1,-,-,1,3,-,-,1,9,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
福　　　岡,66,49,24,233,37,1128,-,-,3,5,2,14,-,-,-,-,18,148,6,11,19,13,415,3,11,6,163
佐　　　賀,26,20,9,59,13,525,1,32,1,2,-,-,-,-,-,-,5,100,3,6,5,2,84,-,-,2,109
長　　　崎,22,17,7,34,8,228,-,-,-,-,2,10,-,-,-,-,11,80,4,6,6,1,15,-,-,2,7
熊　　　本,26,21,10,53,14,415,-,-,1,3,3,8,-,-,-,-,10,81,6,7,9,3,125,1,1,2,62
大　　　分,12,8,2,3,5,307,-,-,1,2,-,-,-,-,-,-,1,4,-,-,4,1,20,-,-,2,11
宮　　　崎,21,17,9,87,10,491,-,-,1,1,2,9,1,298,1,6,10,64,3,5,5,4,62,1,1,-,-
鹿　児　島,52,45,26,200,33,1874,-,-,6,57,4,66,-,-,3,27,17,145,5,5,21,12,285,4,124,5,163
沖　　　縄,5,4,2,25,3,221,-,-,-,-,1,1,-,-,-,-,2,33,-,-,1,1,20,-,-,-,-
（再掲）指定都市・特別区, , , , , , , , , , , , , , , , , , , , , , , , , , , 
東京都の区部,5,1,1,6,1,2,-,-,-,-,1,1,-,-,-,-,1,6,-,-,-,-,-,-,-,-,-
札幌市,4,2,1,9,1,103,-,-,-,-,1,8,-,-,-,-,1,27,-,-,1,1,37,-,-,-,-
仙台市,1,1,1,5,1,39,-,-,-,-,-,-,-,-,-,-,1,1,1,5,1,1,36,-,-,-,-
さいたま市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
千葉市,1,1,1,6,1,22,-,-,-,-,-,-,-,-,1,1,1,8,-,-,1,1,22,-,-,-,-
横浜市,4,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-
川崎市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
相模原市,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
新潟市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
静岡市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
浜松市,3,3,-,-,2,50,-,-,-,-,-,-,-,-,-,-,1,8,-,-,-,-,-,-,-,-,-
名古屋市,2,2,-,-,1,23,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-
京都市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
大阪市,2,2,1,4,2,15,-,-,-,-,1,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
堺市,1,1,-,-,1,5,-,-,-,-,1,3,-,-,1,2,1,3,-,-,-,-,-,-,-,-,-
神戸市,4,2,1,18,1,148,-,-,-,-,-,-,-,-,-,-,2,42,1,2,1,1,26,-,-,-,-
岡山市,10,9,7,16,7,483,-,-,-,-,-,-,-,-,1,7,8,60,1,2,3,2,187,1,7,2,154
広島市,9,2,2,14,2,148,-,-,1,5,1,9,-,-,-,-,1,40,-,-,1,1,118,1,15,1,34
北九州市,12,7,2,13,6,149,-,-,-,-,-,-,-,-,-,-,3,14,1,1,3,2,74,1,8,1,5
福岡市,16,14,7,95,11,395,-,-,-,-,2,14,-,-,-,-,5,17,1,1,4,2,100,-,-,3,129
熊本市,6,4,1,2,2,8,-,-,-,-,1,2,-,-,-,-,2,6,1,1,2,1,4,-,-,-,-
（再掲）中核市, , , , , , , , , , , , , , , , , , , , , , , , , , , 
旭川市,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
函館市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
青森市,3,3,3,28,3,167,-,-,-,-,-,-,-,-,-,-,1,65,2,5,-,-,-,-,-,-,-
八戸市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
盛岡市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
秋田市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
山形市,1,1,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
郡山市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
いわき市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
福島市,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,6,-,-,-,-,-,-,-,-,-
水戸市,2,1,-,-,1,10,-,-,-,-,-,-,-,-,-,-,1,8,-,-,1,-,-,-,-,1,393
宇都宮市,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-
前橋市,1,1,1,1,1,11,-,-,-,-,-,-,-,-,-,-,1,4,-,-,-,-,-,-,-,-,-
高崎市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
川越市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
越谷市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
川口市,1,1,1,35,1,137,-,-,-,-,-,-,-,-,-,-,1,112,1,13,1,1,196,-,-,-,-
船橋市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
柏市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
八王子市,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
横須賀市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
富山市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
金沢市,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
福井市,2,1,-,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
甲府市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
長野市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
松本市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
岐阜市,2,1,1,3,1,71,-,-,-,-,-,-,-,-,-,-,1,7,-,-,-,-,-,-,-,-,-
豊橋市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
豊田市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
岡崎市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
一宮市,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
大津市,1,1,-,-,1,36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
高槻市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
東大阪市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
豊中市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
枚方市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
八尾市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
寝屋川市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
吹田市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
姫路市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
西宮市,1,1,1,2,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-
尼崎市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
明石市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
奈良市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
和歌山市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
鳥取市,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,7,-,-,-,-,-,-,-,-,-
松江市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
倉敷市,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5,-,-,-,-,-,-,-,-,-
福山市,5,3,2,8,2,131,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,1,1,1,1,1,10
呉市,6,4,2,21,2,200,1,11,1,1,-,-,-,-,-,-,4,91,1,4,2,2,11,1,19,-,-
下関市,3,2,2,20,2,72,-,-,-,-,2,4,-,-,-,-,2,19,2,4,2,2,44,2,28,1,2
高松市,9,6,1,9,2,93,-,-,1,2,1,1,-,-,1,1,3,8,1,1,1,1,4,-,-,-,-
松山市,4,3,2,6,2,99,-,-,-,-,-,-,-,-,-,-,2,3,-,-,2,2,61,-,-,-,-
高知市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
久留米市,8,6,3,100,4,244,-,-,1,2,-,-,-,-,-,-,3,68,1,3,3,2,110,-,-,1,9
長崎市,5,3,1,2,2,25,-,-,-,-,-,-,-,-,-,-,2,42,1,1,2,-,-,-,-,1,3
佐世保市,4,4,1,3,1,23,-,-,-,-,-,-,-,-,-,-,2,12,-,-,1,-,-,-,-,1,4
大分市,1,1,-,-,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
宮崎市,6,5,3,67,5,137,-,-,-,-,-,-,1,298,1,6,5,40,1,1,3,3,61,-,-,-,-
鹿児島市,16,11,4,91,8,486,-,-,1,6,-,-,-,-,-,-,5,64,1,1,5,3,128,-,-,2,20
那覇市,1,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
無床
全　　　　　国,99253,30462,16520,211265,17574,1379195,202,22693,999,2360,2196,58377,444,26443,1769,14293,14734,287842,5387,16829,9848,7074,630663,1219,26595,1623,97246
北　海　道,3058,716,354,7424,392,46335,8,1372,21,50,68,2019,16,3141,36,512,304,8201,147,414,223,162,21532,27,502,38,3873
青　　　森,741,169,75,706,91,6100,-,-,4,7,10,99,3,221,4,48,75,1594,42,143,43,27,2499,8,1013,6,793
岩　　　手,804,213,80,570,87,3787,3,41,9,15,11,38,1,8,10,32,108,1158,33,102,39,21,1647,6,111,13,808
宮　　　城,1628,335,171,2114,153,14621,3,175,18,38,24,2000,6,170,10,62,169,2922,60,312,107,75,7490,13,374,11,241
秋　　　田,760,257,125,681,141,3603,-,-,2,6,12,346,1,8,8,14,109,680,34,72,42,30,781,3,24,5,178
山　　　形,835,287,156,1963,172,8906,-,-,5,9,12,228,3,488,9,51,138,1272,55,161,83,58,3028,12,454,8,791
福　　　島,1297,423,193,2044,241,10871,10,379,12,16,29,1207,-,-,16,61,203,2763,83,249,114,78,3929,15,299,14,1033
茨　　　城,1654,411,212,3094,213,20386,6,240,14,31,30,2241,5,231,33,267,190,2995,75,263,141,95,9585,21,679,22,748
栃　　　木,1388,400,219,2586,197,12128,3,15,21,32,23,410,2,42,17,159,192,2738,75,242,91,64,5900,11,89,10,1160
群　　　馬,1502,535,280,2774,318,22518,5,111,19,24,37,1036,6,67,21,130,262,4264,104,333,154,107,11014,19,483,16,1073
埼　　　玉,4349,1004,552,14143,534,77390,10,3008,29,99,80,3045,21,572,74,546,493,13066,221,1042,392,271,40064,37,936,60,3213
千　　　葉,3805,869,481,8752,466,68693,3,496,26,112,76,2548,20,1158,48,488,410,10521,207,788,359,265,37664,37,2421,54,4365
