令和５年,医療施設調査,令和５（２０２３）年１０月１日,
二次医療圏編　第２４表　一般診療所数，在宅療養支援診療所の届出状況・二次医療圏別
,総数,在宅療養支援診療所,,
,,届出施設数,連携保険医療機関等の数,受け持つ在宅療養患者の数
,,,,
1408　湘南西部　　　　　　,399,67,233,6725
1409　県央　　　　　　　　,558,63,155,8854
1410　相模原　　　　　　　,453,48,125,5995
1411　県西　　　　　　　　,259,46,126,3848
1412　横浜　　　　　　　　,3201,366,967,59104
15　　新潟県　,1655,130,334,5215
1501　下越　　　　　　　　,152,6,12,126
1502　新潟　　　　　　　　,718,52,170,3028
1503　県央　　　　　　　　,163,6,14,28
1504　中越　　　　　　　　,298,24,53,515
1505　魚沼　　　　　　　　,103,13,44,608
1506　上越　　　　　　　　,183,29,41,910
1507　佐渡　　　　　　　　,38,-,-,-
16　　富山県　,744,71,193,3615
1601　新川　　　　　　　　,71,2,2,194
1602　富山　　　　　　　　,378,39,128,2751
1603　高岡　　　　　　　　,212,24,55,609
1604　砺波　　　　　　　　,83,6,8,61
17　　石川県　,879,147,424,5423
1701　南加賀　　　　　　　,143,31,73,508
1702　石川中央　　　　　　,600,95,305,4401
1703　能登中部　　　　　　,81,16,39,267
1704　能登北部　　　　　　,55,5,7,247
18　　福井県　,571,52,142,1450
1801　福井・坂井　　　　　,329,34,103,1091
1802　奥越　　　　　　　　,34,4,9,109
1803　丹南　　　　　　　　,108,8,20,176
1804　嶺南　　　　　　　　,100,6,10,74
19　　山梨県　,726,64,132,2178
1901　中北　　　　　　　　,441,41,86,1503
1902　峡東　　　　　　　　,91,13,26,430
1903　峡南　　　　　　　　,47,1,1,1
1904　富士・東部　　　　　,147,9,19,244
20　　長野県　,1599,264,640,6718
2001　佐久　　　　　　　　,169,19,35,644
2002　上小　　　　　　　　,118,19,34,570
2003　諏訪　　　　　　　　,144,36,91,1067
2004　上伊那　　　　　　　,138,27,56,398
2005　飯伊　　　　　　　　,128,40,124,719
2006　木曽　　　　　　　　,21,2,5,24
2007　松本　　　　　　　　,366,60,154,1534
2008　大北　　　　　　　　,48,8,11,150
2009　長野　　　　　　　　,406,47,118,1503
2010　北信　　　　　　　　,61,6,12,109
21　　岐阜県　,1598,275,821,17568
2101　岐阜　　　　　　　　,705,142,500,8146
2102　西濃　　　　　　　　,263,38,131,2156
2103　中濃　　　　　　　　,257,47,81,2005
2104　東濃　　　　　　　　,244,33,75,4648
2105　飛騨　　　　　　　　,129,15,34,613
22　　静岡県　,2724,365,2253,23094
2201　賀茂　　　　　　　　,51,8,11,69
2202　熱海伊東　　　　　　,88,18,47,1727
2203　駿東田方　　　　　　,451,62,165,3496
2204　富士　　　　　　　　,272,19,49,3158
2205　静岡　　　　　　　　,555,103,1622,7710
2206　志太榛原　　　　　　,299,35,73,1791
2207　中東遠　　　　　　　,318,37,70,893
2208　西部　　　　　　　　,690,83,216,4250
23　　愛知県　,5682,845,2344,61563
2302　海部　　　　　　　　,227,37,89,2141
2304　尾張東部　　　　　　,348,56,133,1450
2305　尾張西部　　　　　　,357,67,256,4155
2306　尾張北部　　　　　　,496,80,235,10342
2307　知多半島　　　　　　,406,63,150,2789
2308　西三河北部　　　　　,289,39,163,1411
2309　西三河南部西　　　　,419,60,138,2562
2310　西三河南部東　　　　,260,25,51,1606
2311　東三河北部　　　　　,46,3,3,28
2312　東三河南部　　　　　,457,56,168,5131
2313　名古屋・尾張中部　　,2377,359,958,29948
24　　三重県　,1498,173,549,9866
2401　北勢　　　　　　　　,615,78,292,4300
2402　中勢伊賀　　　　　　,406,38,93,2105
2403　南勢志摩　　　　　　,399,49,154,3173
2404　東紀州　　　　　　　,78,8,10,288
25　　滋賀県　,1143,165,398,6037
2501　大津　　　　　　　　,304,60,151,2892
2502　湖南　　　　　　　　,312,42,97,889
2503　甲賀　　　　　　　　,86,6,13,226
2504　東近江　　　　　　　,161,26,61,851
2505　湖東　　　　　　　　,111,6,19,94
2506　湖北　　　　　　　　,118,16,32,852
2507　湖西　　　　　　　　,51,9,25,233
26　　京都府　,2488,347,743,15181
2601　丹後　　　　　　　　,79,16,41,452
2602　中丹　　　　　　　　,158,28,60,553
2603　南丹　　　　　　　　,101,5,11,742
2604　京都・乙訓　　　　　,1750,243,513,12178
2605　山城北　　　　　　　,307,37,81,793
2606　山城南　　　　　　　,93,18,37,463
27　　大阪府　,8877,1773,4637,94267
2701　豊能　　　　　　　　,1062,199,469,12740
2702　三島　　　　　　　　,625,156,403,5251
