令和５年,医療施設調査,令和５（２０２３）年１０月１日,
都道府県編　第６８表　病院数（重複計上）；実施件数，在宅医療サービス・都道府県−指定都市・特別区・中核市（再掲）・精神科病院−一般病院別
注：「実施件数」は令和５年９月中の数である。
,総数,医療保険等による,,,,,,,,,,,,,,,,,,,介護保険による,,,,,,
,,総数,往診,,在宅患者訪問診療,,歯科訪問診療,,救急搬送診療,,在宅患者訪問看護・指導,,精神科在宅患者訪問看護・指導,,在宅患者訪問リハビリテーション指導管理,,訪問看護ステーションへの指示書の交付,,在宅看取り,,総数,居宅療養管理指導（介護予防サービスを含む）,,訪問看護（介護予防サービスを含む）,,訪問リハビリテーション（介護予防サービスを含む）,
,,施設数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,施設数,実施件数,施設数,実施件数,施設数,実施件数
,,,,,,,,,,,,,,,,,,,,,,,,,,,
総数
宮　　　崎,17,12,1,1,2,52,-,-,-,-,-,-,7,581,-,-,7,818,-,-,1,-,-,-,-,-,-
鹿　児　島,39,30,5,20,8,122,-,-,-,-,2,451,18,2204,-,-,10,211,1,1,-,-,-,-,-,-,-
沖　　　縄,13,9,-,-,-,-,-,-,-,-,-,-,7,2463,1,644,1,80,-,-,-,-,-,-,-,-,-
（再掲）指定都市・特別区, , , , , , , , , , , , , , , , , , , , , , , , , , , 
東京都の区部,13,8,4,48,5,568,-,-,-,-,-,-,7,1721,1,99,5,366,-,-,2,1,2,-,-,1,260
札幌市,26,12,1,4,1,18,-,-,1,1,-,-,10,2109,-,-,2,53,-,-,-,-,-,-,-,-,-
仙台市,9,7,-,-,1,114,-,-,-,-,-,-,5,867,-,-,3,112,-,-,1,1,31,-,-,-,-
さいたま市,4,4,-,-,-,-,-,-,-,-,-,-,2,337,-,-,3,65,-,-,-,-,-,-,-,-,-
千葉市,6,2,2,95,1,96,-,-,-,-,-,-,1,535,-,-,2,85,-,-,-,-,-,-,-,-,-
横浜市,17,10,1,4,1,2,-,-,-,-,-,-,6,804,-,-,5,311,-,-,-,-,-,-,-,-,-
川崎市,6,5,1,2,2,44,-,-,-,-,-,-,4,471,-,-,2,36,-,-,-,-,-,-,-,-,-
相模原市,3,2,-,-,-,-,-,-,-,-,-,-,2,287,-,-,-,-,-,-,-,-,-,-,-,-,-
新潟市,7,4,-,-,1,25,-,-,-,-,-,-,3,107,-,-,4,81,-,-,-,-,-,-,-,-,-
静岡市,5,3,-,-,-,-,-,-,-,-,-,-,1,352,-,-,1,9,-,-,-,-,-,-,-,-,-
浜松市,7,4,1,16,1,192,-,-,-,-,-,-,2,128,-,-,3,146,-,-,-,-,-,-,-,-,-
名古屋市,10,9,2,5,-,-,-,-,-,-,-,-,7,1484,-,-,3,90,-,-,-,-,-,-,-,-,-
京都市,6,4,-,-,-,-,-,-,-,-,-,-,3,202,-,-,2,84,-,-,-,-,-,-,-,-,-
大阪市,1,1,-,-,1,20,-,-,-,-,-,-,1,6,-,-,1,187,-,-,-,-,-,-,-,-,-
堺市,4,3,-,-,-,-,-,-,-,-,-,-,2,8,-,-,2,724,-,-,-,-,-,-,-,-,-
神戸市,11,8,2,3,-,-,-,-,-,-,-,-,4,290,-,-,6,496,-,-,-,-,-,-,-,-,-
岡山市,6,5,2,11,1,13,1,9,-,-,-,-,4,607,1,189,2,113,-,-,-,-,-,-,-,-,-
広島市,9,8,3,8,1,4,-,-,-,-,-,-,6,1686,-,-,4,1570,-,-,1,-,-,-,-,-,-
北九州市,14,8,-,-,1,6,-,-,-,-,-,-,5,640,-,-,3,354,-,-,1,1,9,1,7,1,5
福岡市,13,11,2,8,3,113,-,-,-,-,-,-,6,1443,-,-,4,123,-,-,1,-,-,-,-,-,-
熊本市,16,12,2,4,2,55,-,-,-,-,-,-,7,924,-,-,8,213,-,-,1,1,11,-,-,-,-
（再掲）中核市, , , , , , , , , , , , , , , , , , , , , , , , , , , 
旭川市,3,3,-,-,1,32,-,-,-,-,-,-,2,511,-,-,2,61,-,-,-,-,-,-,-,-,-
函館市,1,1,-,-,-,-,-,-,-,-,-,-,1,36,-,-,-,-,-,-,-,-,-,-,-,-,-
青森市,4,3,1,8,1,85,-,-,-,-,-,-,2,250,-,-,2,162,-,-,1,1,83,-,-,-,-
八戸市,5,2,-,-,-,-,-,-,-,-,-,-,2,148,-,-,-,-,-,-,-,-,-,-,-,-,-
盛岡市,5,3,1,1,-,-,-,-,-,-,-,-,1,10,-,-,2,254,-,-,-,-,-,-,-,-,-
秋田市,7,2,1,1,-,-,-,-,-,-,-,-,1,28,-,-,1,19,-,-,-,-,-,-,-,-,-
山形市,4,3,1,449,-,-,-,-,-,-,-,-,3,646,-,-,2,18,-,-,-,-,-,-,-,-,-
郡山市,3,2,1,2,1,52,1,3,-,-,-,-,1,58,-,-,2,286,-,-,-,-,-,-,-,-,-
いわき市,6,2,-,-,1,39,-,-,-,-,-,-,2,177,-,-,-,-,-,-,-,-,-,-,-,-,-
福島市,6,5,-,-,-,-,-,-,-,-,1,265,4,332,-,-,3,22,-,-,-,-,-,-,-,-,-
水戸市,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
宇都宮市,5,2,-,-,-,-,-,-,-,-,-,-,2,169,-,-,1,65,-,-,-,-,-,-,-,-,-
前橋市,2,1,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,18,-,-,-,-,-,-,-,-,-
高崎市,1,1,-,-,-,-,-,-,-,-,-,-,1,535,-,-,1,36,-,-,-,-,-,-,-,-,-
川越市,6,4,1,1,1,21,-,-,-,-,-,-,3,738,-,-,3,200,-,-,-,-,-,-,-,-,-
越谷市,3,2,-,-,-,-,-,-,-,-,-,-,1,1,-,-,2,164,-,-,1,-,-,-,-,-,-
川口市,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
船橋市,3,3,-,-,-,-,-,-,-,-,-,-,3,706,-,-,2,60,-,-,-,-,-,-,-,-,-
柏市,2,2,-,-,2,20,-,-,-,-,-,-,1,340,-,-,2,53,-,-,-,-,-,-,-,-,-
八王子市,7,3,1,1,1,31,-,-,-,-,-,-,3,302,-,-,2,125,-,-,-,-,-,-,-,-,-
横須賀市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
富山市,7,6,2,3,2,9,-,-,1,1,1,8,6,555,-,-,3,14,-,-,-,-,-,-,-,-,-
金沢市,7,6,1,1,1,2,-,-,-,-,-,-,3,116,-,-,4,53,-,-,-,-,-,-,-,-,-
福井市,4,3,-,-,1,25,1,15,-,-,-,-,2,282,-,-,3,92,-,-,-,-,-,-,-,-,-
甲府市,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,105,-,-,-,-,-,-,-,-,-
長野市,2,2,-,-,-,-,-,-,-,-,-,-,2,729,-,-,-,-,-,-,-,-,-,-,-,-,-
松本市,3,2,-,-,-,-,1,4,-,-,-,-,1,5,-,-,2,21,-,-,1,-,-,1,1,-,-
岐阜市,3,2,-,-,-,-,-,-,-,-,-,-,2,16,-,-,1,239,-,-,-,-,-,-,-,-,-
豊橋市,4,2,1,61,-,-,-,-,-,-,-,-,-,-,-,-,2,358,-,-,-,-,-,-,-,-,-
豊田市,4,3,-,-,-,-,-,-,-,-,-,-,1,188,1,3,1,23,-,-,-,-,-,-,-,-,-
岡崎市,2,2,1,4,-,-,-,-,-,-,-,-,1,132,-,-,-,-,-,-,-,-,-,-,-,-,-
一宮市,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
大津市,2,1,-,-,-,-,-,-,-,-,-,-,1,6,-,-,1,50,-,-,-,-,-,-,-,-,-
高槻市,3,2,-,-,-,-,-,-,-,-,-,-,1,251,-,-,2,32,-,-,-,-,-,-,-,-,-
東大阪市,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,166,-,-,-,-,-,-,-,-,-
豊中市,2,2,-,-,2,26,-,-,-,-,-,-,1,255,-,-,1,209,-,-,1,-,-,1,19,-,-
枚方市,2,1,-,-,1,3,-,-,-,-,-,-,1,378,-,-,1,119,-,-,-,-,-,-,-,-,-
八尾市,1,1,1,54,1,273,-,-,-,-,-,-,1,972,-,-,-,-,-,-,-,-,-,-,-,-,-
寝屋川市,1,1,1,1,1,25,-,-,-,-,-,-,-,-,-,-,1,238,-,-,-,-,-,-,-,-,-
吹田市,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
姫路市,3,3,-,-,-,-,-,-,-,-,-,-,2,124,-,-,3,21,-,-,-,-,-,-,-,-,-
西宮市,2,1,-,-,-,-,-,-,-,-,-,-,1,11,-,-,1,16,-,-,-,-,-,-,-,-,-
尼崎市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
明石市,2,2,-,-,-,-,-,-,-,-,-,-,1,651,-,-,2,64,-,-,-,-,-,-,-,-,-
奈良市,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
和歌山市,3,3,1,2,1,24,-,-,1,2,-,-,3,396,-,-,1,7,-,-,-,-,-,-,-,-,-
鳥取市,2,2,-,-,-,-,-,-,-,-,-,-,2,125,-,-,1,2,-,-,-,-,-,-,-,-,-
松江市,3,3,-,-,-,-,-,-,-,-,-,-,2,420,-,-,1,22,-,-,-,-,-,-,-,-,-
倉敷市,4,2,1,2,-,-,-,-,-,-,-,-,2,477,-,-,2,34,-,-,-,-,-,-,-,-,-
福山市,5,4,-,-,-,-,-,-,1,1,-,-,2,227,-,-,3,63,-,-,1,1,43,-,-,-,-
呉市,5,5,1,15,1,40,-,-,-,-,-,-,2,917,-,-,4,13,-,-,1,1,1,-,-,1,4
下関市,4,1,-,-,-,-,-,-,-,-,-,-,1,73,-,-,-,-,-,-,-,-,-,-,-,-,-
高松市,4,3,-,-,-,-,-,-,-,-,-,-,2,77,-,-,2,117,-,-,-,-,-,-,-,-,-
松山市,5,4,-,-,2,25,-,-,-,-,-,-,1,169,-,-,3,612,-,-,-,-,-,-,-,-,-
高知市,7,1,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,51,-,-,-,-,-,-,-,-,-
久留米市,5,2,-,-,-,-,-,-,-,-,-,-,1,3,-,-,1,22,-,-,-,-,-,-,-,-,-
長崎市,9,7,-,-,-,-,-,-,-,-,-,-,5,461,-,-,3,132,-,-,1,-,-,-,-,1,60
佐世保市,6,5,-,-,1,4,-,-,-,-,-,-,5,334,-,-,-,-,-,-,-,-,-,-,-,-,-
大分市,12,8,-,-,-,-,-,-,-,-,-,-,8,574,-,-,2,64,-,-,-,-,-,-,-,-,-
宮崎市,5,5,1,1,1,46,-,-,-,-,-,-,2,297,-,-,4,784,-,-,-,-,-,-,-,-,-
鹿児島市,12,10,1,1,5,86,-,-,-,-,-,-,7,1084,-,-,5,97,-,-,-,-,-,-,-,-,-
那覇市,2,2,-,-,-,-,-,-,-,-,-,-,1,625,1,644,-,-,-,-,-,-,-,-,-,-,-
一般病院
全　　　　　国,7065,4413,1702,23582,2779,232039,169,9962,599,12702,662,31965,168,20163,547,14390,2952,92515,819,2129,2824,1249,103085,895,115455,1844,270233
北　海　道,464,262,81,1367,163,16827,6,214,28,302,53,1821,17,1736,23,1750,148,4030,35,96,166,65,7833,59,5104,97,19969
青　　　森,72,48,20,219,36,1960,1,12,8,166,11,1192,2,235,7,345,34,939,14,35,31,18,796,12,400,18,2261
岩　　　手,76,59,22,183,40,2653,3,10,10,206,15,740,2,766,1,1,39,881,14,45,30,10,574,11,2248,17,2845
宮　　　城,108,68,27,352,39,3629,2,131,11,131,9,167,1,149,4,25,48,1683,14,32,40,24,2203,9,504,22,1818
秋　　　田,48,38,15,219,25,1002,1,2,5,10,4,165,5,115,6,168,25,641,5,16,20,9,469,11,1127,10,733
山　　　形,52,38,15,53,24,567,4,274,3,7,6,296,3,32,4,109,26,663,10,17,19,12,388,9,2720,11,1713
福　　　島,99,69,27,110,46,3250,6,532,7,129,9,1363,3,355,3,16,48,1167,14,44,34,18,1489,12,2575,15,2897
茨　　　城,152,87,34,513,55,3539,1,9,9,153,10,753,4,327,8,96,56,1441,19,37,44,20,977,15,2278,26,2658
栃　　　木,89,47,12,121,22,887,3,100,6,242,6,111,2,242,6,123,29,625,3,3,18,5,551,6,170,10,1519
群　　　馬,114,67,29,195,44,2994,3,52,12,194,9,295,3,174,6,163,40,1157,20,35,43,25,1413,12,833,23,3885
埼　　　玉,296,174,65,1096,97,9487,7,720,18,375,29,797,4,417,21,521,116,3555,33,126,120,53,4883,36,3101,75,10926
千　　　葉,256,141,58,1190,91,6854,9,553,18,931,24,595,8,2585,17,526,88,2087,29,62,105,58,3420,23,1629,52,12958
東　　　京,588,262,111,1982,150,24892,7,660,19,1649,37,3590,12,1862,26,852,155,9787,55,132,174,93,13240,35,4310,100,12619
神　奈　川,289,169,70,1322,99,13510,9,1249,17,1436,27,588,3,346,15,296,112,4836,38,139,112,63,7957,31,4411,67,15200
新　　　潟,100,80,21,138,42,1050,10,386,14,516,11,414,3,205,4,76,64,2045,10,19,46,20,612,24,3094,24,1754
富　　　山,86,56,13,78,34,1284,3,113,5,64,14,381,3,138,9,155,37,1039,7,11,40,18,616,9,1020,27,1665
石　　　川,75,48,24,189,36,2755,1,2,11,191,17,843,3,401,8,89,31,762,10,29,38,18,1054,20,1730,25,2114
福　　　井,57,46,18,112,32,1255,1,7,6,37,4,41,2,267,3,18,35,986,7,12,25,7,322,12,960,13,586
山　　　梨,52,26,12,314,18,980,-,-,2,4,4,64,1,31,6,140,19,353,4,10,18,5,209,7,779,13,1693
長　　　野,108,88,54,497,66,4767,5,183,23,799,12,624,6,658,18,766,73,4088,33,106,63,34,2004,29,8016,47,10002
岐　　　阜,82,55,31,287,35,2447,4,659,11,59,3,133,1,77,7,44,41,1275,16,32,40,18,979,18,4602,27,2659
静　　　岡,139,79,27,746,44,4763,2,9,11,104,15,1191,2,41,9,188,48,1357,15,66,59,19,2112,20,4270,41,6389
愛　　　知,278,161,54,1381,87,18968,2,331,27,424,18,534,4,354,28,733,113,5596,32,134,101,39,7515,27,5525,79,13793
三　　　重,81,47,18,199,31,2209,1,2,6,37,5,59,3,384,11,126,32,652,9,21,28,11,720,14,2252,23,3313
滋　　　賀,51,36,17,364,26,1413,5,419,5,175,2,2,1,97,9,196,29,1134,11,22,22,9,1142,7,1623,19,2758
京　　　都,149,97,33,529,64,6363,3,33,14,85,4,421,4,248,12,525,72,3387,18,53,74,32,2097,25,9164,53,10480
大　　　阪,463,286,112,1949,173,19980,10,780,44,764,36,1197,7,1049,32,1210,203,7339,54,107,182,97,9546,43,5730,130,19590
兵　　　庫,312,212,69,1395,136,7145,8,211,26,195,18,492,1,55,29,553,157,5377,35,62,131,48,2236,37,4198,92,18641
奈　　　良,71,47,17,172,30,2422,1,137,6,22,5,85,1,436,6,27,35,1034,10,20,28,8,544,4,401,23,3479
和　歌　山,75,49,23,507,29,2632,-,-,5,104,3,54,3,400,3,109,33,1195,10,27,33,15,747,8,256,21,3347
鳥　　　取,39,32,13,81,19,471,2,56,3,20,3,85,2,701,5,48,23,540,4,4,18,6,214,11,1262,15,3420
島　　　根,37,29,15,92,21,1156,2,239,6,43,4,69,2,245,1,1,19,514,7,9,20,9,461,5,920,14,2244
岡　　　山,143,108,41,666,70,4762,6,297,17,91,23,292,2,9,9,85,76,1532,18,28,67,37,2387,26,2242,43,4885
広　　　島,201,119,47,268,67,4052,5,193,21,247,23,1035,3,252,16,589,84,2377,22,72,80,28,1161,29,3891,48,5471
山　　　口,112,76,30,707,49,2439,3,207,14,149,10,530,2,27,12,204,56,1446,5,21,46,10,791,15,2121,32,5449
徳　　　島,90,67,28,371,44,3541,1,1,12,432,7,1154,1,11,7,161,43,593,6,16,46,22,1619,14,731,37,5651
香　　　川,75,49,19,225,33,1855,1,4,8,196,12,286,1,24,9,231,34,635,9,34,32,10,744,6,483,22,3670
愛　　　媛,121,88,40,202,56,3495,3,77,15,304,16,483,3,359,3,33,64,2189,16,48,47,21,1153,11,1174,25,2703
高　　　知,107,67,23,237,42,2575,-,-,9,97,9,221,2,97,9,97,37,700,11,22,38,11,804,11,940,30,2931
福　　　岡,390,245,87,975,156,11591,11,676,32,564,40,4965,13,1802,43,1353,162,3738,29,98,168,77,6709,51,4996,125,13279
佐　　　賀,82,56,15,163,38,3025,-,-,4,36,11,256,1,142,12,257,35,437,3,7,34,8,319,11,1074,22,1492
長　　　崎,118,83,34,141,58,2351,1,6,12,90,13,501,5,150,19,330,52,755,17,30,52,13,494,19,1380,40,4029
熊　　　本,163,127,37,285,74,3255,5,88,20,303,18,648,1,169,18,329,78,1385,18,49,83,35,1434,29,2727,47,3853
大　　　分,126,80,37,509,61,5645,-,-,5,36,12,434,1,1,8,121,55,2213,16,41,51,14,2238,20,2149,35,6655
宮　　　崎,112,63,24,136,36,1662,-,-,8,95,9,414,2,180,7,62,40,750,14,26,35,16,524,14,1237,16,1837
鹿　児　島,191,134,59,556,107,5756,8,294,19,403,20,1229,6,765,24,413,82,1124,26,47,95,45,2424,25,2116,72,6495
沖　　　縄,76,48,24,189,34,1924,3,34,7,85,12,355,7,1047,4,130,26,476,14,27,28,16,961,13,982,21,1905
（再掲）指定都市・特別区, , , , , , , , , , , , , , , , , , , , , , , , , , , 
東京都の区部,410,180,75,1334,99,16791,7,660,13,1621,22,2970,5,487,14,303,108,7715,36,77,115,63,8715,21,2909,63,8290
札幌市,172,76,23,411,35,6653,3,50,6,67,7,55,1,77,8,1163,46,1904,8,29,48,22,3420,12,1504,29,4766
仙台市,47,23,11,294,8,1909,1,52,4,19,1,8,1,149,2,7,19,950,6,17,9,5,1183,-,-,6,918
さいたま市,35,16,8,429,12,1321,-,-,1,22,3,114,1,215,3,39,11,585,3,15,13,6,725,3,185,6,323
千葉市,42,18,10,620,13,2035,-,-,3,34,2,51,-,-,1,8,13,414,7,14,12,8,1184,4,246,6,1727
横浜市,113,69,28,363,42,5819,5,951,6,14,10,166,-,-,4,191,47,2279,15,45,46,25,2533,13,2651,31,2731
川崎市,33,20,6,140,10,860,-,-,3,642,5,256,-,-,1,14,16,620,4,12,12,7,630,3,49,7,1025
相模原市,32,13,7,268,7,1709,-,-,2,273,1,14,1,37,2,13,11,478,4,17,6,3,1164,1,2,3,171
新潟市,35,26,4,87,10,266,5,282,5,394,2,238,-,-,2,46,23,895,3,9,16,9,241,6,494,11,824
静岡市,22,8,1,8,5,145,-,-,1,1,2,158,1,17,-,-,3,113,1,1,5,1,89,2,383,3,210
浜松市,25,16,4,16,6,247,-,-,2,9,2,63,-,-,2,5,10,220,-,-,11,4,297,2,315,8,1376
名古屋市,110,57,18,773,26,13730,-,-,4,8,2,16,-,-,8,150,40,2495,12,57,36,15,5201,4,116,28,1782
京都市,89,53,16,456,35,5167,1,29,9,49,1,185,1,19,8,428,40,2057,10,29,39,16,1422,9,1275,28,5511
大阪市,170,82,32,377,48,6606,2,38,8,391,8,176,1,27,7,420,54,1675,9,23,56,29,3855,11,658,42,5525
堺市,39,27,10,757,16,2478,-,-,1,1,6,211,-,-,2,51,17,1213,6,11,20,12,1270,6,1625,16,3263
神戸市,98,59,23,193,42,2824,2,156,7,19,3,63,-,-,6,120,46,1672,11,17,35,16,636,8,990,26,4900
岡山市,50,30,7,74,14,1074,-,-,4,8,7,13,-,-,1,14,24,427,2,3,18,6,682,6,429,10,1172
広島市,73,30,11,87,14,924,2,74,5,106,6,237,-,-,2,40,24,963,3,5,18,8,338,5,1625,8,889
北九州市,76,40,14,52,25,1285,5,203,5,296,8,65,-,-,7,68,25,551,1,3,34,10,292,7,509,25,3723
福岡市,102,62,21,218,36,2532,3,262,6,49,5,315,2,201,11,652,45,1250,11,18,43,24,1686,16,1858,34,2699
熊本市,75,59,21,221,35,2201,1,23,8,202,5,164,1,169,7,143,33,787,8,22,37,18,1215,11,1157,22,1617
（再掲）中核市, , , , , , , , , , , , , , , , , , , , , , , , , , , 
旭川市,33,19,3,12,14,977,-,-,2,5,2,46,1,204,1,79,11,257,2,6,9,5,600,2,48,5,3285
函館市,26,19,8,92,15,2075,1,150,2,30,3,196,1,114,1,38,11,234,4,12,8,6,561,-,-,4,1042
青森市,15,9,6,48,8,417,-,-,3,26,1,47,-,-,-,-,8,299,2,4,7,2,15,2,124,6,443
八戸市,16,10,5,141,7,278,-,-,4,118,1,3,1,117,2,39,6,111,3,8,5,2,52,2,17,2,748
盛岡市,21,16,8,121,11,1692,1,1,1,25,2,18,-,-,1,1,13,521,3,10,7,1,323,1,148,7,1132
秋田市,14,11,4,26,6,579,1,2,-,-,1,72,-,-,1,75,8,283,1,2,4,3,226,2,312,2,456
山形市,13,7,1,2,2,13,-,-,-,-,-,-,-,-,-,-,7,224,1,2,3,-,-,1,202,3,556
郡山市,19,12,5,20,7,453,1,112,1,3,-,-,-,-,1,6,9,158,2,10,7,4,265,4,1041,4,1660
いわき市,19,13,7,32,9,697,-,-,2,8,2,47,-,-,2,10,11,226,2,11,6,5,457,1,87,1,28
福島市,15,11,3,23,7,1285,2,359,1,108,2,1223,-,-,-,-,7,332,3,9,7,5,612,2,633,2,402
水戸市,24,15,4,122,9,556,-,-,1,71,4,76,-,-,-,-,10,363,3,7,9,4,244,1,80,5,821
宇都宮市,27,10,3,78,3,166,1,64,1,67,1,78,1,212,2,45,8,147,-,-,3,-,-,-,-,3,156
前橋市,18,11,6,49,6,536,1,1,4,32,2,138,-,-,1,106,7,305,2,4,6,3,327,3,433,5,1184
高崎市,24,14,8,46,12,840,1,47,3,77,2,8,-,-,2,24,8,224,5,7,12,10,739,2,176,5,1078
川越市,18,15,9,119,8,541,4,450,3,68,6,155,-,-,2,14,11,349,4,9,9,5,468,3,264,6,581
越谷市,12,5,1,16,5,427,-,-,-,-,3,109,-,-,-,-,5,115,1,3,6,3,527,3,197,4,1317
川口市,21,9,3,59,7,493,-,-,-,-,1,4,-,-,-,-,6,211,1,12,7,5,250,2,17,5,183
船橋市,19,12,8,57,9,787,2,31,3,13,-,-,-,-,-,-,9,194,4,8,11,8,472,1,48,6,2489
柏市,16,4,-,-,1,1,1,197,1,4,-,-,-,-,-,-,1,23,-,-,1,1,1,-,-,-,-
八王子市,28,16,5,51,9,817,-,-,1,3,1,3,4,775,1,3,7,334,2,8,10,6,418,1,91,6,348
横須賀市,12,8,-,-,6,64,1,136,-,-,-,-,1,154,-,-,3,131,-,-,4,3,74,-,-,1,48
富山市,38,25,3,27,12,308,1,31,1,7,5,39,-,-,3,13,18,545,1,2,17,6,224,3,5,14,616
金沢市,36,20,7,48,11,739,-,-,4,60,8,489,-,-,2,19,12,357,1,2,16,6,407,8,1095,11,858
福井市,23,18,5,14,11,797,1,7,1,2,1,6,1,231,1,2,12,456,1,2,7,3,215,2,326,4,276
甲府市,11,4,1,3,2,13,-,-,-,-,1,2,-,-,1,3,3,35,-,-,3,1,3,1,72,3,177
長野市,22,12,3,58,7,1094,-,-,-,-,-,-,1,74,-,-,10,454,3,13,8,4,525,6,2454,6,2347
松本市,13,11,10,137,9,380,1,65,5,186,2,70,2,72,3,539,10,421,4,5,7,1,2,5,1686,5,1298
岐阜市,28,20,11,132,12,1439,3,628,2,14,-,-,-,-,1,5,14,484,7,15,14,9,744,7,1414,9,387
豊橋市,17,11,2,15,5,99,1,328,1,11,2,14,1,246,1,100,6,95,1,4,4,2,74,1,118,3,868
豊田市,14,8,2,239,5,1377,1,3,3,38,2,57,-,-,2,121,8,705,2,33,5,3,553,3,402,4,376
岡崎市,12,6,2,26,3,167,-,-,1,2,1,3,-,-,2,59,4,48,-,-,5,2,84,2,233,5,1493
一宮市,14,8,3,19,3,96,-,-,3,22,3,239,1,10,1,141,6,130,1,1,5,1,17,2,443,3,397
大津市,13,8,4,79,6,586,1,339,-,-,-,-,-,-,3,42,5,135,3,10,6,2,899,2,455,5,381
高槻市,14,11,4,89,3,546,-,-,1,2,-,-,-,-,2,471,9,325,1,5,4,2,401,-,-,2,471
東大阪市,19,10,4,137,7,1094,-,-,1,2,2,19,1,1,1,18,6,233,4,10,6,3,197,1,11,4,106
豊中市,17,11,4,24,4,201,-,-,2,10,1,4,-,-,1,18,6,225,2,3,3,2,81,-,-,2,430
枚方市,22,16,6,194,11,2062,-,-,3,33,1,5,-,-,2,13,14,648,3,10,7,5,874,2,239,2,505
八尾市,10,7,4,26,5,450,1,9,1,10,1,10,-,-,1,4,5,79,3,4,6,2,187,-,-,6,517
寝屋川市,13,11,5,18,9,563,1,8,4,32,2,34,-,-,-,-,6,183,3,3,8,5,309,-,-,5,353
吹田市,14,11,3,57,5,886,-,-,3,50,2,187,1,22,3,28,9,397,1,1,6,4,447,3,122,3,1101
姫路市,31,23,11,135,14,1571,-,-,2,17,-,-,-,-,4,35,18,1007,4,7,11,8,1080,2,439,8,1619
西宮市,23,14,4,9,6,462,1,3,3,16,-,-,-,-,1,33,11,297,3,5,3,-,-,-,-,2,1382
尼崎市,23,16,7,87,10,240,-,-,3,49,-,-,-,-,1,13,11,475,2,3,10,2,22,3,31,6,347
明石市,19,14,2,877,10,518,-,-,-,-,-,-,-,-,1,14,9,272,2,5,11,4,55,4,135,8,807
奈良市,21,13,4,44,11,872,-,-,3,11,1,14,-,-,2,14,8,554,3,4,9,3,260,1,12,7,1294
和歌山市,34,22,13,295,16,1906,-,-,3,98,-,-,-,-,1,1,14,498,6,17,20,10,599,3,62,12,727
鳥取市,10,7,1,12,2,68,1,2,-,-,1,68,1,55,1,6,4,65,1,1,5,-,-,2,178,4,395
松江市,8,3,2,4,2,89,1,238,1,3,-,-,-,-,1,1,3,63,-,-,4,3,104,-,-,2,31
倉敷市,32,26,15,542,17,1864,2,7,6,54,4,155,-,-,1,10,20,722,6,13,17,12,1203,7,656,9,1333
福山市,35,24,16,105,14,1514,1,46,5,79,4,111,-,-,5,27,18,425,8,15,15,9,494,7,299,11,380
呉市,21,13,2,2,6,49,1,16,-,-,1,233,-,-,-,-,4,73,-,-,5,1,2,3,358,4,1874
下関市,20,14,5,25,7,373,1,192,2,4,3,225,-,-,3,54,9,154,-,-,9,1,77,3,273,7,1531
高松市,29,19,8,83,13,597,1,4,4,38,3,138,-,-,1,21,15,220,3,9,13,4,294,3,448,8,839
松山市,36,26,12,83,16,2132,-,-,5,13,6,246,2,242,-,-,21,1236,8,27,13,6,521,5,627,5,529
高知市,52,30,11,162,17,967,-,-,5,90,4,119,-,-,2,32,15,363,5,9,16,7,492,5,670,13,1244
久留米市,27,16,5,36,9,457,1,36,2,6,2,16,2,367,3,29,11,237,1,2,10,4,234,4,79,8,291
長崎市,34,21,10,50,17,592,1,6,3,12,3,276,-,-,6,126,13,224,3,5,16,4,109,6,430,11,1998
佐世保市,18,12,3,6,8,471,-,-,1,38,2,10,-,-,-,-,9,160,2,2,6,1,46,1,187,5,426
大分市,41,21,12,327,15,2840,-,-,2,13,2,3,-,-,3,20,15,1601,6,18,14,7,1799,4,234,11,2251
宮崎市,31,17,8,71,10,799,-,-,4,31,1,11,1,15,1,8,13,395,5,10,8,5,164,3,795,5,1104
鹿児島市,73,49,22,252,40,1950,-,-,3,169,3,72,1,332,9,188,34,393,5,6,38,19,993,5,283,33,4075
那覇市,15,9,3,19,4,261,1,14,-,-,2,31,-,-,1,48,5,39,1,1,6,2,142,1,4,5,359
