令和５年,医療施設調査,令和５（２０２３）年１０月１日,
都道府県編　第６８表　病院数（重複計上）；実施件数，在宅医療サービス・都道府県−指定都市・特別区・中核市（再掲）・精神科病院−一般病院別
注：「実施件数」は令和５年９月中の数である。
,総数,医療保険等による,,,,,,,,,,,,,,,,,,,介護保険による,,,,,,
,,総数,往診,,在宅患者訪問診療,,歯科訪問診療,,救急搬送診療,,在宅患者訪問看護・指導,,精神科在宅患者訪問看護・指導,,在宅患者訪問リハビリテーション指導管理,,訪問看護ステーションへの指示書の交付,,在宅看取り,,総数,居宅療養管理指導（介護予防サービスを含む）,,訪問看護（介護予防サービスを含む）,,訪問リハビリテーション（介護予防サービスを含む）,
,,施設数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,施設数,実施件数,施設数,実施件数,施設数,実施件数
,,,,,,,,,,,,,,,,,,,,,,,,,,,
総数
福　　　岡,453,291,92,1008,164,11833,11,676,32,564,42,5900,41,5445,43,1353,182,4947,29,98,171,79,6722,52,5003,127,13288
佐　　　賀,95,67,17,167,40,3102,-,-,4,36,11,256,3,319,12,257,43,723,3,7,34,8,319,11,1074,22,1492
長　　　崎,146,102,34,141,60,2385,1,6,12,90,14,565,19,1395,19,330,58,1007,17,30,53,13,494,19,1380,41,4089
熊　　　本,202,158,41,293,80,3405,5,88,20,303,19,876,17,1536,18,329,96,2076,18,49,84,36,1445,29,2727,47,3853
大　　　分,151,97,38,511,63,5670,-,-,5,36,12,434,15,1549,8,121,61,2351,16,41,51,14,2238,20,2149,35,6655
宮　　　崎,129,75,25,137,38,1714,-,-,8,95,9,414,9,761,7,62,47,1568,14,26,36,16,524,14,1237,16,1837
鹿　児　島,230,164,64,576,115,5878,8,294,19,403,22,1680,24,2969,24,413,92,1335,27,48,95,45,2424,25,2116,72,6495
沖　　　縄,89,57,24,189,34,1924,3,34,7,85,12,355,14,3510,5,774,27,556,14,27,28,16,961,13,982,21,1905
（再掲）指定都市・特別区, , , , , , , , , , , , , , , , , , , , , , , , , , , 
東京都の区部,423,188,79,1382,104,17359,7,660,13,1621,22,2970,12,2208,15,402,113,8081,36,77,117,64,8717,21,2909,64,8550
札幌市,198,88,24,415,36,6671,3,50,7,68,7,55,11,2186,8,1163,48,1957,8,29,48,22,3420,12,1504,29,4766
仙台市,56,30,11,294,9,2023,1,52,4,19,1,8,6,1016,2,7,22,1062,6,17,10,6,1214,-,-,6,918
さいたま市,39,20,8,429,12,1321,-,-,1,22,3,114,3,552,3,39,14,650,3,15,13,6,725,3,185,6,323
千葉市,48,20,12,715,14,2131,-,-,3,34,2,51,1,535,1,8,15,499,7,14,12,8,1184,4,246,6,1727
横浜市,130,79,29,367,43,5821,5,951,6,14,10,166,6,804,4,191,52,2590,15,45,46,25,2533,13,2651,31,2731
川崎市,39,25,7,142,12,904,-,-,3,642,5,256,4,471,1,14,18,656,4,12,12,7,630,3,49,7,1025
相模原市,35,15,7,268,7,1709,-,-,2,273,1,14,3,324,2,13,11,478,4,17,6,3,1164,1,2,3,171
新潟市,42,30,4,87,11,291,5,282,5,394,2,238,3,107,2,46,27,976,3,9,16,9,241,6,494,11,824
静岡市,27,11,1,8,5,145,-,-,1,1,2,158,2,369,-,-,4,122,1,1,5,1,89,2,383,3,210
浜松市,32,20,5,32,7,439,-,-,2,9,2,63,2,128,2,5,13,366,-,-,11,4,297,2,315,8,1376
名古屋市,120,66,20,778,26,13730,-,-,4,8,2,16,7,1484,8,150,43,2585,12,57,36,15,5201,4,116,28,1782
京都市,95,57,16,456,35,5167,1,29,9,49,1,185,4,221,8,428,42,2141,10,29,39,16,1422,9,1275,28,5511
大阪市,171,83,32,377,49,6626,2,38,8,391,8,176,2,33,7,420,55,1862,9,23,56,29,3855,11,658,42,5525
堺市,43,30,10,757,16,2478,-,-,1,1,6,211,2,8,2,51,19,1937,6,11,20,12,1270,6,1625,16,3263
神戸市,109,67,25,196,42,2824,2,156,7,19,3,63,4,290,6,120,52,2168,11,17,35,16,636,8,990,26,4900
岡山市,56,35,9,85,15,1087,1,9,4,8,7,13,4,607,2,203,26,540,2,3,18,6,682,6,429,10,1172
広島市,82,38,14,95,15,928,2,74,5,106,6,237,6,1686,2,40,28,2533,3,5,19,8,338,5,1625,8,889
北九州市,90,48,14,52,26,1291,5,203,5,296,8,65,5,640,7,68,28,905,1,3,35,11,301,8,516,26,3728
福岡市,115,73,23,226,39,2645,3,262,6,49,5,315,8,1644,11,652,49,1373,11,18,44,24,1686,16,1858,34,2699
